# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  6.69211663832299E+000     1.91557066746481E+011     1.90703293524239E+011     5.65183578382660E-003     3.22165498642358E+007     1.83700231987526E+011     1.60213880930851E+001     4.08410885290611E+006     4.75315903167257E-004     1.57514759380248E+003     0.00000000000000E+000
  6.78380564508486E+000     1.77249865809979E+011     1.76458857529594E+011     4.93395692282425E-003     2.75451409730546E+007     1.69996975155376E+011     1.42514389244693E+001     3.49248913356694E+006     4.03796121553270E-004     1.57243734887171E+003     0.00000000000000E+000
  6.87549465184674E+000     1.64017993906221E+011     1.63280673032957E+011     4.31303354249623E-003     2.35551854671078E+007     1.57320889609805E+011     1.26991428679541E+001     2.98705369435397E+006     3.43090817500171E-004     1.56973500148925E+003     0.00000000000000E+000
  6.96718365860861E+000     1.51779443946588E+011     1.51094254170744E+011     3.77541486368791E-003     2.01464540946456E+007     1.45594290140710E+011     1.13363083723589E+001     2.55515122998666E+006     2.91553850081120E-004     1.56704125392798E+003     0.00000000000000E+000
  7.05835493045174E+000     1.40489069737083E+011     1.39851188065376E+011     3.31187939134327E-003     1.72488209721510E+007     1.34804390813184E+011     1.01448440498885E+001     2.18793294690722E+006     2.48019465813402E-004     1.56437187053991E+003     0.00000000000000E+000
  7.14952620229487E+000     1.30071425953380E+011     1.29478627279862E+011     2.90934698081000E-003     1.47700176501459E+007     1.24817263140401E+011     9.09569465454069E+000     1.87373435787438E+006     2.11011849036933E-004     1.56171217667201E+003     0.00000000000000E+000
  7.24069747413800E+000     1.20429822085876E+011     1.19878955872447E+011     2.55940022134072E-003     1.26490891353207E+007     1.15572738587456E+011     8.17075651195342E+000     1.60485127853255E+006     1.79547060941767E-004     1.55906267735927E+003     0.00000000000000E+000
  7.33186874598113E+000     1.11505938300604E+011     1.10995379525999E+011     2.25482164323138E-003     1.08340352832839E+007     1.07015220858050E+011     7.35432276644907E+000     1.37470884733466E+006     1.52790615893076E-004     1.55642382685146E+003     0.00000000000000E+000
  7.42304001782426E+000     1.03245851999846E+011     1.02771323942831E+011     1.98941844749879E-003     9.28047911148077E+006     9.90933324916081E+010     6.63276010258734E+000     1.17769409484004E+006     1.30034558988127E-004     1.55379603316870E+003     0.00000000000000E+000
  7.49840337972202E+000     9.62320285078912E+010     9.57886932172048E+010     1.79580170733817E-003     8.16658157243560E+006     9.29909719559224E+010     6.09945261789338E+000     1.03641686651908E+006     1.13813931706530E-004     1.55163247356657E+003     0.00000000000000E+000
