# time[s], T9[GK], density[g/cm^3], Ye 
# 
8.659994073999849888e+02 4.531758827623584285e-01 3.141975586251966365e-06 8.343346788662415747e-01
9.099170157391275779e+02 4.421042537606894585e-01 2.917269278953347174e-06 8.343346788662415747e-01
9.560618268982143491e+02 4.313031179017783878e-01 2.708633409872231073e-06 8.343346788662415747e-01
1.004546789477787684e+03 4.207658667145264819e-01 2.514918661094024982e-06 8.343346788662415747e-01
1.055490580064301184e+03 4.104860531806894253e-01 2.335057911073060184e-06 8.343346788662415747e-01
1.109017893714653610e+03 4.004573877903928047e-01 2.168060356152026976e-06 8.343346788662415747e-01
1.165259749172143756e+03 3.906737346940125644e-01 2.013006052495705673e-06 8.343346788662415747e-01
1.224353809560886020e+03 3.811291079480725874e-01 1.869040848372121868e-06 8.343346788662415747e-01
1.286444719343687666e+03 3.718176678528570811e-01 1.735371678864355307e-06 8.343346788662415747e-01
1.351684458368128617e+03 3.627337173795008862e-01 1.611262197092922392e-06 8.343346788662415747e-01
1.420232713867452958e+03 3.538716986843708501e-01 1.496028717882312334e-06 8.343346788662415747e-01
1.492257271326833461e+03 3.452261897086021936e-01 1.389036451526404023e-06 8.343346788662415747e-01
1.567934425171697285e+03 3.367919008607162534e-01 1.289696006905697634e-06 8.343346788662415747e-01
1.647449410283397128e+03 3.285636717802817297e-01 1.197460144692883774e-06 8.343346788662415747e-01
1.730996855398402886e+03 3.205364681806474603e-01 1.111820762761151665e-06 8.343346788662415747e-01
1.818781259500845408e+03 3.127053787688076070e-01 1.032306097188583667e-06 8.343346788662415747e-01
1.911017492374429366e+03 3.050656122405209780e-01 9.584781234398105927e-07 8.343346788662415747e-01
2.007931320538963519e+03 2.976124943488408503e-01 8.899301434086890739e-07 8.343346788662415747e-01
2.109759959858804905e+03 2.903414650442658895e-01 8.262845450297255435e-07 8.343346788662415747e-01
2.216752656175846369e+03 2.832480756847600700e-01 7.671907221165324120e-07 8.343346788662415747e-01
2.329171295388287490e+03 2.763279863139342929e-01 7.123231429682754741e-07 8.343346788662415747e-01
2.447291044468427572e+03 2.695769630057268662e-01 6.613795571046161838e-07 8.343346788662415747e-01
2.571401024988559584e+03 2.629908752739548716e-01 6.140793302505111143e-07 8.343346788662415747e-01
2.701805020803486968e+03 2.565656935451550713e-01 5.701618983987870499e-07 8.343346788662415747e-01
2.838822221621933295e+03 2.502974866931644282e-01 5.293853324343146732e-07 8.343346788662415747e-01
2.982788004286796877e+03 2.441824196339358877e-01 4.915250054127194975e-07 8.343346788662415747e-01
3.134054753676679411e+03 2.382167509791136839e-01 4.563723551520027318e-07 8.343346788662415747e-01
3.292992725237935247e+03 2.323968307469357064e-01 4.237337353205504001e-07 8.343346788662415747e-01
3.459990951258485893e+03 2.267190981290615748e-01 3.934293486924818471e-07 8.343346788662415747e-01
3.635458193101720099e+03 2.211800793119584885e-01 3.652922566939252720e-07 8.343346788662415747e-01
3.819823941731182003e+03 2.157763853515146935e-01 3.391674597840967909e-07 8.343346788662415747e-01
4.013539468975128784e+03 2.105047100995773579e-01 3.149110436052388465e-07 8.343346788662415747e-01
4.217078932104030173e+03 2.053618281811488422e-01 2.923893861978048869e-07 8.343346788662415747e-01
4.430940534424800717e+03 2.003445930210012715e-01 2.714784219136441833e-07 8.343346788662415747e-01
4.655647744732417777e+03 1.954499349185045143e-01 2.520629579722958073e-07 8.343346788662415747e-01
4.891750578603911890e+03 1.906748591694872597e-01 2.340360398954793685e-07 8.343346788662415747e-01
5.139826944670843659e+03 1.860164442339838908e-01 2.172983623241395582e-07 8.343346788662415747e-01
5.400484059165573854e+03 1.814718399487459111e-01 2.017577219723977604e-07 8.343346788662415747e-01
5.674359932203758945e+03 1.770382657834225215e-01 1.873285097048762433e-07 8.343346788662415747e-01
5.962124929440929918e+03 1.727130091393464517e-01 1.739312389393990717e-07 8.343346788662415747e-01
6.264483412925771518e+03 1.684934236898809057e-01 1.614921077771581211e-07 8.343346788662415747e-01
6.582175465166237700e+03 1.643769277613152668e-01 1.499425924482487872e-07 8.343346788662415747e-01
6.915978700628701517e+03 1.603610027533160509e-01 1.392190698329694041e-07 8.343346788662415747e-01
7.266710169103916996e+03 1.564431915979696275e-01 1.292624669794657340e-07 8.343346788662415747e-01
7.635228355598897906e+03 1.526210972564708279e-01 1.200179356870013835e-07 8.343346788662415747e-01
8.022435281649643912e+03 1.488923812525403401e-01 1.114345503622284258e-07 8.343346788662415747e-01
8.429278713198178593e+03 1.452547622416724693e-01 1.034650274840292079e-07 8.343346788662415747e-01
8.856754480438206883e+03 1.417060146153368561e-01 9.606546513153472690e-08 8.343346788662415747e-01
9.305908915307440111e+03 1.382439671392825808e-01 8.919510114045681127e-08 8.343346788662415747e-01
9.777841412593146742e+03 1.348665016251088811e-01 8.281608855547739761e-08 8.343346788662415747e-01
1.027370712091940550e+04 1.315715516342921554e-01 7.689328714172877665e-08 8.343346788662415747e-01
1.079471977020313898e+04 1.283571012138739476e-01 7.139406980685381639e-08 8.343346788662415747e-01
1.134215464249931028e+04 1.252211836630388597e-01 6.628814286728299369e-08 8.343346788662415747e-01
1.191735169350746764e+04 1.221618803298249317e-01 6.154737916861933870e-08 8.343346788662415747e-01
1.252171883237959810e+04 1.191773194372335032e-01 5.714566314084254348e-08 8.343346788662415747e-01
1.315673536785778560e+04 1.162656749380173993e-01 5.305874693477893383e-08 8.343346788662415747e-01
1.382395562917660391e+04 1.134251653974479718e-01 4.926411684733473669e-08 8.343346788662415747e-01
1.452501277059268250e+04 1.106540529033790965e-01 4.574086929966765087e-08 8.343346788662415747e-01
1.526162276885485699e+04 1.079506420029368585e-01 4.246959568508869398e-08 8.343346788662415747e-01
1.603558862339816005e+04 1.053132786651899688e-01 3.943227545236025858e-08 8.343346788662415747e-01
1.684880476954353799e+04 1.027403492691616599e-01 3.661217683540964391e-08 8.343346788662415747e-01
1.770326171550509025e+04 1.002302796165659426e-01 3.399376468260772290e-08 8.343346788662415747e-01
1.860105091455451475e+04 9.778153396866455516e-02 3.156261487786998126e-08 8.343346788662415747e-01
1.954436988426891548e+04 9.539261410665410279e-02 2.930533488214767147e-08 8.343346788662415747e-01
2.053552758539217757e+04 9.306205841500862774e-02 2.720948995759423486e-08 8.343346788662415747e-01
2.157695007347521823e+04 9.078844098721855493e-02 2.526353466799775457e-08 8.343346788662415747e-01
2.267118643712947232e+04 8.857037075337630128e-02 2.345674927813157537e-08 8.343346788662415747e-01
2.382091503742829809e+04 8.640649062907597433e-02 2.177918070166582499e-08 8.343346788662415747e-01
2.502895006372774515e+04 8.429547668510808944e-02 2.022158767233917622e-08 8.343346788662415747e-01
2.629824842195523161e+04 8.223603733743699296e-02 1.877538983635052437e-08 8.343346788662415747e-01
2.763191697222420771e+04 8.022691255697074475e-02 1.743262048553860761e-08 8.343346788662415747e-01
2.903322013349221743e+04 7.826687309863557263e-02 1.618588267096622600e-08 8.343346788662415747e-01
3.050558787387558186e+04 7.635471974928527417e-02 1.502830845515245893e-08 8.343346788662415747e-01
3.205262410617799469e+04 7.448928259398586438e-02 1.395352107848466495e-08 8.343346788662415747e-01
3.367811550918386638e+04 7.266942030022485732e-02 1.295559983139441442e-08 8.343346788662415747e-01
3.538604079630779597e+04 7.089401941960833675e-02 1.202904743878844108e-08 8.343346788662415747e-01
3.718058045428635523e+04 6.916199370661901824e-02 1.116875977706459125e-08 8.343346788662415747e-01
3.906612697575077618e+04 6.747228345401720673e-02 1.036999775689139520e-08 8.343346788662415747e-01
4.104729561072642537e+04 6.582385484447861312e-02 9.628361216861538707e-09 8.343346788662415747e-01
4.312893566337397351e+04 6.421569931807358245e-02 8.939764684207049606e-09 8.343346788662415747e-01
4.531614236162665475e+04 6.264683295519775375e-02 8.300414869047270186e-09 8.343346788662415747e-01
4.761426932877324725e+04 6.111629587457988178e-02 7.706789768193059135e-09 8.343346788662415747e-01
5.002894168751498364e+04 5.962315164599700512e-02 7.155619263395085648e-09 8.343346788662415747e-01
5.256606982857307594e+04 5.816648671733638809e-02 6.643867107156826670e-09 8.343346788662415747e-01
5.523186387754413590e+04 5.674540985565666718e-02 6.168714196878203396e-09 8.343346788662415747e-01
5.803284889541773009e+04 5.535905160190350560e-02 5.727543045190621365e-09 8.343346788662415747e-01
