# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  2.32088311232974E+011     2.75800522098570E+003     2.73674990951086E+003     1.86281031373337E+003     1.01497036585537E-011     5.80952051479302E+002     1.63611642908883E+002     3.80177951413308E-017     1.01831385566979E-020     1.30623343299449E+000     0.00000000000000E+000
  3.31555722190060E+011     2.75772752142667E+003     2.73647415249164E+003     1.86259941780734E+003     1.01482462838046E-011     5.80886198174838E+002     1.63593123485355E+002     3.80038764153100E-017     1.01816772842044E-020     1.30612781376844E+000     0.00000000000000E+000
  1.32622983176092E+012     2.75446932841954E+003     2.73323908947977E+003     1.86049359450835E+003     1.01337063721438E-011     5.80228648096140E+002     1.63408204615607E+002     3.78652068634826E-017     1.01670984278192E-020     1.30507304359357E+000     0.00000000000000E+000
  2.32090394133178E+012     2.75239250053532E+003     2.73117629276146E+003     1.85839052893000E+003     1.01192074885766E-011     5.79571965953223E+002     1.63223527888704E+002     3.77272805427389E-017     1.01525606044480E-020     1.30401941180700E+000     0.00000000000000E+000
  3.31557805090264E+012     2.74962664773312E+003     2.72842978831149E+003     1.85629074462049E+003     1.01047529592134E-011     5.78916315081495E+002     1.63039139272231E+002     3.75901260490757E-017     1.01380671503196E-020     1.30296710300729E+000     0.00000000000000E+000
  8.09944971302047E+012     2.74072583224222E+003     2.71958817756901E+003     1.84624077155760E+003     1.00358679577412E-011     5.75778335336389E+002     1.62156619505941E+002     3.69412859287398E-017     1.00689952471179E-020     1.29792765143160E+000     0.00000000000000E+000
  1.28833213751383E+013     2.72596895038913E+003     2.70493581072149E+003     1.83627154767134E+003     9.96801072181893E-012     5.72665714983408E+002     1.61281190091727E+002     3.63098510156894E-017     1.00009516561996E-020     1.29292309510003E+000     0.00000000000000E+000
  2.32481017044495E+013     2.70283275478143E+003     2.68195837414304E+003     1.81494537446404E+003     9.82437093363352E-012     5.66007663459617E+002     1.59408469033813E+002     3.49984082830147E-017     9.85691024792725E-021     1.28219869913785E+000     0.00000000000000E+000
  3.36128820337608E+013     2.67158467548661E+003     2.65093238225021E+003     1.79398648725014E+003     9.68511966245399E-012     5.59464868340719E+002     1.57567998375956E+002     3.37594682444149E-017     9.71726067505744E-021     1.27163390946232E+000     0.00000000000000E+000
  4.58068960151489E+013     2.63806353791643E+003     2.61764835957879E+003     1.76978896339161E+003     9.52655872826618E-012     5.51911736795469E+002     1.55443129357390E+002     3.23872510124894E-017     9.55823595011136E-021     1.25940513415695E+000     0.00000000000000E+000
  5.80009099965369E+013     2.60252735508988E+003     2.58236581344445E+003     1.74607653628721E+003     9.37332023346156E-012     5.44510682165559E+002     1.53360855475110E+002     3.10996574605903E-017     9.40453934340484E-021     1.24738817869856E+000     0.00000000000000E+000
  7.01949239779250E+013     2.56773631809936E+003     2.54782355066665E+003     1.72283619338048E+003     9.22505256971531E-012     5.37257559363649E+002     1.51320034169220E+002     2.98894698443415E-017     9.25581964185523E-021     1.23557782328583E+000     0.00000000000000E+000
  9.20978950797483E+013     2.52034572163247E+003     2.50076466578546E+003     1.68223788526337E+003     8.97023669614509E-012     5.24588431121772E+002     1.47754938194764E+002     2.78901418349463E-017     9.00020798398972E-021     1.21486700284426E+000     0.00000000000000E+000
