50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.08473e-01 4.01926e+00 -1.76965e-03
1.08473e-01 4.13974e+00 -7.92365e-04
1.08473e-01 4.25388e+00 -3.45415e-04
1.08473e-01 4.36124e+00 -1.48319e-04
1.08473e-01 4.46139e+00 -6.35417e-05
1.08473e-01 4.55396e+00 -2.75351e-05
1.08473e-01 4.63857e+00 -1.22428e-05
1.08473e-01 4.71492e+00 -5.66663e-06
1.08473e-01 4.78270e+00 -2.76964e-06
1.08473e-01 4.84164e+00 -1.44918e-06
1.08473e-01 4.89153e+00 -8.22141e-07
1.08473e-01 4.93216e+00 -5.11482e-07
1.08473e-01 4.96339e+00 -3.52353e-07
1.08473e-01 4.98508e+00 -2.70849e-07
1.08473e-01 4.99717e+00 -2.33580e-07
1.58358e-01 2.83399e-03 2.78197e-05
1.58358e-01 1.49201e-02 7.70776e-04
1.58358e-01 3.66148e-02 4.63250e-03
1.58358e-01 6.78390e-02 1.58085e-02
1.58358e-01 1.08473e-01 3.98989e-02
1.58358e-01 1.58358e-01 8.30458e-02
1.58358e-01 2.17304e-01 1.50468e-01
1.58358e-01 2.85080e-01 2.44582e-01
1.58358e-01 3.61426e-01 3.63366e-01
1.58358e-01 4.46045e-01 4.99901e-01
1.58358e-01 5.38610e-01 6.43660e-01
1.58358e-01 6.38764e-01 7.83110e-01
1.58358e-01 7.46119e-01 9.08398e-01
1.58358e-01 8.60259e-01 1.01301e+00
1.58358e-01 9.80743e-01 1.09409e+00
1.58358e-01 1.10710e+00 1.15175e+00
1.58358e-01 1.23885e+00 1.18799e+00
1.58358e-01 1.37548e+00 1.20539e+00
1.58358e-01 1.51646e+00 1.20568e+00
1.58358e-01 1.66125e+00 1.18805e+00
1.58358e-01 1.80928e+00 1.14741e+00
1.58358e-01 1.95998e+00 1.07319e+00
1.58358e-01 2.11277e+00 9.50654e-01
1.58358e-01 2.26706e+00 7.67732e-01
1.58358e-01 2.42225e+00 5.28826e-01
1.58358e-01 2.57775e+00 2.69527e-01
1.58358e-01 2.73294e+00 5.28380e-02
1.58358e-01 2.88723e+00 -6.86467e-02
1.58358e-01 3.04002e+00 -9.61896e-02
1.58358e-01 3.19072e+00 -7.59170e-02
1.58358e-01 3.33875e+00 -4.85402e-02
1.58358e-01 3.48354e+00 -2.81768e-02
1.58358e-01 3.62452e+00 -1.53196e-02
1.58358e-01 3.76115e+00 -7.85788e-03
1.58358e-01 3.89290e+00 -3.82348e-03
1.58358e-01 4.01926e+00 -1.77731e-03
1.58358e-01 4.13974e+00 -7.96146e-04
1.58358e-01 4.25388e+00 -3.47219e-04
1.58358e-01 4.36124e+00 -1.49160e-04
1.58358e-01 4.46139e+00 -6.39309e-05
1.58358e-01 4.55396e+00 -2.77159e-05
1.58358e-01 4.63857e+00 -1.23283e-05
1.58358e-01 4.71492e+00 -5.70849e-06
1.58358e-01 4.78270e+00 -2.79112e-06
1.58358e-01 4.84164e+00 -1.46090e-06
1.58358e-01 4.89153e+00 -8.29029e-07
1.58358e-01 4.93216e+00 -5.15890e-07
1.58358e-01 4.96339e+00 -3.55456e-07
1.58358e-01 4.98508e+00 -2.73270e-07
1.58358e-01 4.99717e+00 -2.35685e-07
2.17304e-01 2.83399e-03 2.50738e-05
2.17304e-01 1.49201e-02 6.94739e-04
2.17304e-01 3.66148e-02 4.17674e-03
2.17304e-01 6.78390e-02 1.42655e-02
2.17304e-01 1.08473e-01 3.60711e-02
2.17304e-01 1.58358e-01 7.53264e-02
2.17304e-01 2.17304e-01 1.37180e-01
2.17304e-01 2.85080e-01 2.24553e-01
2.17304e-01 3.61426e-01 3.36519e-01
2.17304e-01 4.46045e-01 4.67497e-01
2.17304e-01 5.38610e-01 6.07973e-01
2.17304e-01 6.38764e-01 7.46708e-01
2.17304e-01 7.46119e-01 8.73457e-01
2.17304e-01 8.60259e-01 9.80961e-01
2.17304e-01 9.80743e-01 1.06561e+00
2.17304e-01 1.10710e+00 1.12695e+00
2.17304e-01 1.23885e+00 1.16667e+00
2.17304e-01 1.37548e+00 1.18717e+00
2.17304e-01 1.51646e+00 1.19017e+00
2.17304e-01 1.66125e+00 1.17490e+00
2.17304e-01 1.80928e+00 1.13635e+00
2.17304e-01 1.95998e+00 1.06402e+00
2.17304e-01 2.11277e+00 9.43304e-01
2.17304e-01 2.26706e+00 7.62152e-01
2.17304e-01 2.42225e+00 5.24933e-01
2.17304e-01 2.57775e+00 2.67107e-01
2.17304e-01 2.73294e+00 5.15092e-02
2.17304e-01 2.88723e+00 -6.93351e-02
2.17304e-01 3.04002e+00 -9.65851e-02
2.17304e-01 3.19072e+00 -7.61849e-02
2.17304e-01 3.33875e+00 -4.87286e-02
2.17304e-01 3.48354e+00 -2.83024e-02
2.17304e-01 3.62452e+00 -1.53976e-02
2.17304e-01 3.76115e+00 -7.90306e-03
2.17304e-01 3.89290e+00 -3.84809e-03
2.17304e-01 4.01926e+00 -1.79001e-03
2.17304e-01 4.13974e+00 -8.02421e-04
2.17304e-01 4.25388e+00 -3.50213e-04
2.17304e-01 4.36124e+00 -1.50558e-04
2.17304e-01 4.46139e+00 -6.45771e-05
2.17304e-01 4.55396e+00 -2.80160e-05
2.17304e-01 4.63857e+00 -1.24704e-05
2.17304e-01 4.71492e+00 -5.77801e-06
2.17304e-01 4.78270e+00 -2.82680e-06
2.17304e-01 4.84164e+00 -1.48037e-06
2.17304e-01 4.89153e+00 -8.40467e-07
2.17304e-01 4.93216e+00 -5.23212e-07
2.17304e-01 4.96339e+00 -3.60609e-07
2.17304e-01 4.98508e+00 -2.77291e-07
2.17304e-01 4.99717e+00 -2.39182e-07
2.85080e-01 2.83399e-03 2.15651e-05
2.85080e-01 1.49201e-02 5.97562e-04
2.85080e-01 3.66148e-02 3.59387e-03
2.85080e-01 6.78390e-02 1.22880e-02
2.85080e-01 1.08473e-01 3.11441e-02
2.85080e-01 1.58358e-01 6.53121e-02
2.85080e-01 2.17304e-01 1.19732e-01
2.85080e-01 2.85080e-01 1.97820e-01
2.85080e-01 3.61426e-01 2.99968e-01
2.85080e-01 4.46045e-01 4.22416e-01
2.85080e-01 5.38610e-01 5.57259e-01
2.85080e-01 6.38764e-01 6.93993e-01
2.85080e-01 7.46119e-01 8.22069e-01
2.85080e-01 8.60259e-01 9.33256e-01
2.85080e-01 9.80743e-01 1.02284e+00
2.85080e-01 1.10710e+00 1.08949e+00
2.85080e-01 1.23885e+00 1.13431e+00
2.85080e-01 1.37548e+00 1.15945e+00
2.85080e-01 1.51646e+00 1.16652e+00
2.85080e-01 1.66125e+00 1.15482e+00
2.85080e-01 1.80928e+00 1.11942e+00
2.85080e-01 1.95998e+00 1.05000e+00
2.85080e-01 2.11277e+00 9.32053e-01
2.85080e-01 2.26706e+00 7.53608e-01
2.85080e-01 2.42225e+00 5.18973e-01
2.85080e-01 2.57775e+00 2.63402e-01
2.85080e-01 2.73294e+00 4.94766e-02
2.85080e-01 2.88723e+00 -7.03867e-02
2.85080e-01 3.04002e+00 -9.71887e-02
2.85080e-01 3.19072e+00 -7.65937e-02
2.85080e-01 3.33875e+00 -4.90165e-02
2.85080e-01 3.48354e+00 -2.84945e-02
2.85080e-01 3.62452e+00 -1.55168e-02
2.85080e-01 3.76115e+00 -7.97219e-03
2.85080e-01 3.89290e+00 -3.88577e-03
2.85080e-01 4.01926e+00 -1.80947e-03
2.85080e-01 4.13974e+00 -8.12031e-04
2.85080e-01 4.25388e+00 -3.54800e-04
2.85080e-01 4.36124e+00 -1.52699e-04
2.85080e-01 4.46139e+00 -6.55674e-05
2.85080e-01 4.55396e+00 -2.84761e-05
2.85080e-01 4.63857e+00 -1.26882e-05
2.85080e-01 4.71492e+00 -5.88460e-06
2.85080e-01 4.78270e+00 -2.88150e-06
2.85080e-01 4.84164e+00 -1.51022e-06
2.85080e-01 4.89153e+00 -8.58010e-07
2.85080e-01 4.93216e+00 -5.34440e-07
2.85080e-01 4.96339e+00 -3.68514e-07
2.85080e-01 4.98508e+00 -2.83459e-07
2.85080e-01 4.99717e+00 -2.44545e-07
3.61426e-01 2.83399e-03 1.76275e-05
3.61426e-01 1.49201e-02 4.88491e-04
3.61426e-01 3.66148e-02 2.93910e-03
3.61426e-01 6.78390e-02 1.00612e-02
3.61426e-01 1.08473e-01 2.55664e-02
3.61426e-01 1.58358e-01 5.38676e-02
3.61426e-01 2.17304e-01 9.94949e-02
3.61426e-01 2.85080e-01 1.66169e-01
3.61426e-01 3.61426e-01 2.55561e-01
3.61426e-01 4.46045e-01 3.66028e-01
3.61426e-01 5.38610e-01 4.91923e-01
3.61426e-01 6.38764e-01 6.24206e-01
3.61426e-01 7.46119e-01 7.52458e-01
3.61426e-01 8.60259e-01 8.67464e-01
3.61426e-01 9.80743e-01 9.63063e-01
3.61426e-01 1.10710e+00 1.03662e+00
3.61426e-01 1.23885e+00 1.08835e+00
3.61426e-01 1.37548e+00 1.11988e+00
3.61426e-01 1.51646e+00 1.13267e+00
3.61426e-01 1.66125e+00 1.12600e+00
3.61426e-01 1.80928e+00 1.09510e+00
3.61426e-01 1.95998e+00 1.02982e+00
3.61426e-01 2.11277e+00 9.15854e-01
3.61426e-01 2.26706e+00 7.41302e-01
3.61426e-01 2.42225e+00 5.10387e-01
3.61426e-01 2.57775e+00 2.58068e-01
3.61426e-01 2.73294e+00 4.65536e-02
3.61426e-01 2.88723e+00 -7.18959e-02
3.61426e-01 3.04002e+00 -9.80536e-02
3.61426e-01 3.19072e+00 -7.71797e-02
3.61426e-01 3.33875e+00 -4.94295e-02
3.61426e-01 3.48354e+00 -2.87702e-02
3.61426e-01 3.62452e+00 -1.56881e-02
3.61426e-01 3.76115e+00 -8.07164e-03
3.61426e-01 3.89290e+00 -3.94001e-03
3.61426e-01 4.01926e+00 -1.83750e-03
3.61426e-01 4.13974e+00 -8.25878e-04
3.61426e-01 4.25388e+00 -3.61412e-04
3.61426e-01 4.36124e+00 -1.55786e-04
3.61426e-01 4.46139e+00 -6.69956e-05
3.61426e-01 4.55396e+00 -2.91398e-05
3.61426e-01 4.63857e+00 -1.30024e-05
3.61426e-01 4.71492e+00 -6.03840e-06
3.61426e-01 4.78270e+00 -2.96045e-06
3.61426e-01 4.84164e+00 -1.55331e-06
3.61426e-01 4.89153e+00 -8.83333e-07
3.61426e-01 4.93216e+00 -5.50649e-07
3.61426e-01 4.96339e+00 -3.79925e-07
3.61426e-01 4.98508e+00 -2.92363e-07
3.61426e-01 4.99717e+00 -2.52289e-07
4.46045e-01 2.83399e-03 1.37033e-05
4.46045e-01 1.49201e-02 3.79772e-04
4.46045e-01 3.66148e-02 2.28587e-03
4.46045e-01 6.78390e-02 7.83400e-03
4.46045e-01 1.08473e-01 1.99564e-02
4.46045e-01 1.58358e-01 4.22402e-02
4.46045e-01 2.17304e-01 7.86014e-02
4.46045e-01 2.85080e-01 1.32728e-01
4.46045e-01 3.61426e-01 2.07216e-01
4.46045e-01 4.46045e-01 3.02430e-01
4.46045e-01 5.38610e-01 4.15399e-01
4.46045e-01 6.38764e-01 5.39436e-01
4.46045e-01 7.46119e-01 6.65159e-01
4.46045e-01 8.60259e-01 7.82800e-01
4.46045e-01 9.80743e-01 8.84627e-01
4.46045e-01 1.10710e+00 9.66271e-01
4.46045e-01 1.23885e+00 1.02656e+00
4.46045e-01 1.37548e+00 1.06633e+00
4.46045e-01 1.51646e+00 1.08662e+00
4.46045e-01 1.66125e+00 1.08667e+00
4.46045e-01 1.80928e+00 1.06183e+00
4.46045e-01 1.95998e+00 1.00219e+00
4.46045e-01 2.11277e+00 8.93642e-01
4.46045e-01 2.26706e+00 7.24419e-01
4.46045e-01 2.42225e+00 4.98609e-01
4.46045e-01 2.57775e+00 2.50756e-01
4.46045e-01 2.73294e+00 4.25535e-02
4.46045e-01 2.88723e+00 -7.39551e-02
4.46045e-01 3.04002e+00 -9.92308e-02
4.46045e-01 3.19072e+00 -7.79774e-02
4.46045e-01 3.33875e+00 -4.99927e-02
4.46045e-01 3.48354e+00 -2.91469e-02
4.46045e-01 3.62452e+00 -1.59225e-02
4.46045e-01 3.76115e+00 -8.20775e-03
4.46045e-01 3.89290e+00 -4.01431e-03
4.46045e-01 4.01926e+00 -1.87592e-03
4.46045e-01 4.13974e+00 -8.44872e-04
4.46045e-01 4.25388e+00 -3.70486e-04
4.46045e-01 4.36124e+00 -1.60026e-04
4.46045e-01 4.46139e+00 -6.89575e-05
4.46045e-01 4.55396e+00 -3.00517e-05
4.46045e-01 4.63857e+00 -1.34343e-05
4.46045e-01 4.71492e+00 -6.24986e-06
4.46045e-01 4.78270e+00 -3.06902e-06
4.46045e-01 4.84164e+00 -1.61257e-06
4.46045e-01 4.89153e+00 -9.18164e-07
4.46045e-01 4.93216e+00 -5.72948e-07
4.46045e-01 4.96339e+00 -3.95625e-07
4.46045e-01 4.98508e+00 -3.04615e-07
4.46045e-01 4.99717e+00 -2.62943e-07
5.38610e-01 2.83399e-03 1.01791e-05
5.38610e-01 1.49201e-02 2.82121e-04
5.38610e-01 3.66148e-02 1.69866e-03
5.38610e-01 6.78390e-02 5.82711e-03
5.38610e-01 1.08473e-01 1.48752e-02
5.38610e-01 1.58358e-01 3.16080e-02
5.38610e-01 2.17304e-01 5.91983e-02
5.38610e-01 2.85080e-01 1.00954e-01
5.38610e-01 3.61426e-01 1.59833e-01
5.38610e-01 4.46045e-01 2.37645e-01
5.38610e-01 5.38610e-01 3.33956e-01
5.38610e-01 6.38764e-01 4.45067e-01
5.38610e-01 7.46119e-01 5.63833e-01
5.38610e-01 8.60259e-01 6.81007e-01
5.38610e-01 9.80743e-01 7.87694e-01
5.38610e-01 1.10710e+00 8.77545e-01
