50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
2.17304e-01 2.11277e+00 1.53345e-03
2.17304e-01 2.26706e+00 9.38682e-04
2.17304e-01 2.42225e+00 4.37259e-04
2.17304e-01 2.57775e+00 5.99339e-05
2.17304e-01 2.73294e+00 -1.44396e-04
2.17304e-01 2.88723e+00 -1.70624e-04
2.17304e-01 3.04002e+00 -9.11010e-05
2.17304e-01 3.19072e+00 -2.88665e-06
2.17304e-01 3.33875e+00 4.54963e-05
2.17304e-01 3.48354e+00 5.66957e-05
2.17304e-01 3.62452e+00 4.84442e-05
2.17304e-01 3.76115e+00 3.44186e-05
2.17304e-01 3.89290e+00 2.16502e-05
2.17304e-01 4.01926e+00 1.24471e-05
2.17304e-01 4.13974e+00 6.68272e-06
2.17304e-01 4.25388e+00 3.41024e-06
2.17304e-01 4.36124e+00 1.68116e-06
2.17304e-01 4.46139e+00 8.13376e-07
2.17304e-01 4.55396e+00 3.92338e-07
2.17304e-01 4.63857e+00 1.91659e-07
2.17304e-01 4.71492e+00 9.62990e-08
2.17304e-01 4.78270e+00 5.05208e-08
2.17304e-01 4.84164e+00 2.80718e-08
2.17304e-01 4.89153e+00 1.67393e-08
2.17304e-01 4.93216e+00 1.08383e-08
2.17304e-01 4.96339e+00 7.69584e-09
2.17304e-01 4.98508e+00 6.04024e-09
2.17304e-01 4.99717e+00 5.26953e-09
2.85080e-01 2.83399e-03 1.78054e-06
2.85080e-01 1.49201e-02 4.93126e-05
2.85080e-01 3.66148e-02 2.95773e-04
2.85080e-01 6.78390e-02 1.00335e-03
2.85080e-01 1.08473e-01 2.49961e-03
2.85080e-01 1.58358e-01 5.07953e-03
2.85080e-01 2.17304e-01 8.84914e-03
2.85080e-01 2.85080e-01 1.35616e-02
2.85080e-01 3.61426e-01 1.85591e-02
2.85080e-01 4.46045e-01 2.29291e-02
2.85080e-01 5.38610e-01 2.58449e-02
2.85080e-01 6.38764e-01 2.68896e-02
2.85080e-01 7.46119e-01 2.61485e-02
2.85080e-01 8.60259e-01 2.40567e-02
2.85080e-01 9.80743e-01 2.11607e-02
2.85080e-01 1.10710e+00 1.79431e-02
2.85080e-01 1.23885e+00 1.47546e-02
2.85080e-01 1.37548e+00 1.18149e-02
2.85080e-01 1.51646e+00 9.24048e-03
2.85080e-01 1.66125e+00 7.07197e-03
2.85080e-01 1.80928e+00 5.29294e-03
2.85080e-01 1.95998e+00 3.84487e-03
2.85080e-01 2.11277e+00 2.64661e-03
2.85080e-01 2.26706e+00 1.62667e-03
2.85080e-01 2.42225e+00 7.64920e-04
2.85080e-01 2.57775e+00 1.14981e-04
2.85080e-01 2.73294e+00 -2.38444e-04
2.85080e-01 2.88723e+00 -2.85979e-04
2.85080e-01 3.04002e+00 -1.51522e-04
2.85080e-01 3.19072e+00 -1.66129e-06
2.85080e-01 3.33875e+00 8.02312e-05
2.85080e-01 3.48354e+00 9.86329e-05
2.85080e-01 3.62452e+00 8.39199e-05
2.85080e-01 3.76115e+00 5.95019e-05
2.85080e-01 3.89290e+00 3.73841e-05
2.85080e-01 4.01926e+00 2.14765e-05
2.85080e-01 4.13974e+00 1.15246e-05
2.85080e-01 4.25388e+00 5.87886e-06
2.85080e-01 4.36124e+00 2.89733e-06
2.85080e-01 4.46139e+00 1.40148e-06
2.85080e-01 4.55396e+00 6.75901e-07
2.85080e-01 4.63857e+00 3.30137e-07
2.85080e-01 4.71492e+00 1.65861e-07
2.85080e-01 4.78270e+00 8.70075e-08
2.85080e-01 4.84164e+00 4.83425e-08
2.85080e-01 4.89153e+00 2.88253e-08
2.85080e-01 4.93216e+00 1.86629e-08
2.85080e-01 4.96339e+00 1.32514e-08
2.85080e-01 4.98508e+00 1.04005e-08
2.85080e-01 4.99717e+00 9.07332e-09
3.61426e-01 2.83399e-03 2.34140e-06
3.61426e-01 1.49201e-02 6.48537e-05
3.61426e-01 3.66148e-02 3.89231e-04
3.61426e-01 6.78390e-02 1.32278e-03
3.61426e-01 1.08473e-01 3.30838e-03
