50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.58358e-01 4.36124e+00 2.72269e-03
1.58358e-01 4.46139e+00 1.27809e-03
1.58358e-01 4.55396e+00 6.02511e-04
1.58358e-01 4.63857e+00 2.89242e-04
1.58358e-01 4.71492e+00 1.43423e-04
1.58358e-01 4.78270e+00 7.44976e-05
1.58358e-01 4.84164e+00 4.10874e-05
1.58358e-01 4.89153e+00 2.43663e-05
1.58358e-01 4.93216e+00 1.57141e-05
1.58358e-01 4.96339e+00 1.11272e-05
1.58358e-01 4.98508e+00 8.71795e-06
1.58358e-01 4.99717e+00 7.59844e-06
2.17304e-01 2.83399e-03 -1.32363e+00
2.17304e-01 1.49201e-02 -1.32335e+00
2.17304e-01 3.66148e-02 -1.32186e+00
2.17304e-01 6.78390e-02 -1.31754e+00
2.17304e-01 1.08473e-01 -1.30816e+00
2.17304e-01 1.58358e-01 -1.29114e+00
2.17304e-01 2.17304e-01 -1.26389e+00
2.17304e-01 2.85080e-01 -1.22443e+00
2.17304e-01 3.61426e-01 -1.17183e+00
2.17304e-01 4.46045e-01 -1.10654e+00
2.17304e-01 5.38610e-01 -1.03016e+00
2.17304e-01 6.38764e-01 -9.44691e-01
2.17304e-01 7.46119e-01 -8.51718e-01
2.17304e-01 8.60259e-01 -7.51722e-01
2.17304e-01 9.80743e-01 -6.43916e-01
2.17304e-01 1.10710e+00 -5.26466e-01
2.17304e-01 1.23885e+00 -3.97003e-01
2.17304e-01 1.37548e+00 -2.53319e-01
2.17304e-01 1.51646e+00 -9.42826e-02
2.17304e-01 1.66125e+00 7.89938e-02
2.17304e-01 1.80928e+00 2.61750e-01
2.17304e-01 1.95998e+00 4.44214e-01
2.17304e-01 2.11277e+00 6.11030e-01
2.17304e-01 2.26706e+00 7.42878e-01
2.17304e-01 2.42225e+00 8.21705e-01
2.17304e-01 2.57775e+00 8.38690e-01
2.17304e-01 2.73294e+00 7.99052e-01
2.17304e-01 2.88723e+00 7.16809e-01
2.17304e-01 3.04002e+00 6.04702e-01
2.17304e-01 3.19072e+00 4.74382e-01
2.17304e-01 3.33875e+00 3.43031e-01
2.17304e-01 3.48354e+00 2.28964e-01
2.17304e-01 3.62452e+00 1.42110e-01
2.17304e-01 3.76115e+00 8.26569e-02
2.17304e-01 3.89290e+00 4.53704e-02
2.17304e-01 4.01926e+00 2.36724e-02
2.17304e-01 4.13974e+00 1.18386e-02
2.17304e-01 4.25388e+00 5.73032e-03
2.17304e-01 4.36124e+00 2.71475e-03
2.17304e-01 4.46139e+00 1.27447e-03
2.17304e-01 4.55396e+00 6.00851e-04
2.17304e-01 4.63857e+00 2.88464e-04
2.17304e-01 4.71492e+00 1.43045e-04
2.17304e-01 4.78270e+00 7.43049e-05
2.17304e-01 4.84164e+00 4.09828e-05
2.17304e-01 4.89153e+00 2.43051e-05
2.17304e-01 4.93216e+00 1.56750e-05
2.17304e-01 4.96339e+00 1.10998e-05
2.17304e-01 4.98508e+00 8.69657e-06
2.17304e-01 4.99717e+00 7.57986e-06
2.85080e-01 2.83399e-03 -1.27540e+00
2.85080e-01 1.49201e-02 -1.27516e+00
2.85080e-01 3.66148e-02 -1.27390e+00
2.85080e-01 6.78390e-02 -1.27026e+00
2.85080e-01 1.08473e-01 -1.26233e+00
2.85080e-01 1.58358e-01 -1.24785e+00
2.85080e-01 2.17304e-01 -1.22443e+00
2.85080e-01 2.85080e-01 -1.19001e+00
2.85080e-01 3.61426e-01 -1.14328e+00
2.85080e-01 4.46045e-01 -1.08402e+00
2.85080e-01 5.38610e-01 -1.01317e+00
2.85080e-01 6.38764e-01 -9.32336e-01
2.85080e-01 7.46119e-01 -8.43014e-01
2.85080e-01 8.60259e-01 -7.45873e-01
2.85080e-01 9.80743e-01 -6.40401e-01
2.85080e-01 1.10710e+00 -5.25009e-01
2.85080e-01 1.23885e+00 -3.97486e-01
2.85080e-01 1.37548e+00 -2.55695e-01
2.85080e-01 1.51646e+00 -9.85007e-02
2.85080e-01 1.66125e+00 7.30431e-02
2.85080e-01 1.80928e+00 2.54273e-01
2.85080e-01 1.95998e+00 4.35533e-01
2.85080e-01 2.11277e+00 6.01581e-01
2.85080e-01 2.26706e+00 7.33180e-01
2.85080e-01 2.42225e+00 8.12305e-01
2.85080e-01 2.57775e+00 8.30090e-01
2.85080e-01 2.73294e+00 7.91634e-01
2.85080e-01 2.88723e+00 7.10787e-01
2.85080e-01 3.04002e+00 6.00108e-01
2.85080e-01 3.19072e+00 4.71096e-01
2.85080e-01 3.33875e+00 3.40829e-01
2.85080e-01 3.48354e+00 2.27583e-01
2.85080e-01 3.62452e+00 1.41297e-01
2.85080e-01 3.76115e+00 8.22050e-02
2.85080e-01 3.89290e+00 4.51329e-02
2.85080e-01 4.01926e+00 2.35533e-02
2.85080e-01 4.13974e+00 1.17812e-02
2.85080e-01 4.25388e+00 5.70351e-03
2.85080e-01 4.36124e+00 2.70245e-03
2.85080e-01 4.46139e+00 1.26886e-03
2.85080e-01 4.55396e+00 5.98274e-04
2.85080e-01 4.63857e+00 2.87256e-04
2.85080e-01 4.71492e+00 1.42458e-04
2.85080e-01 4.78270e+00 7.40055e-05
2.85080e-01 4.84164e+00 4.08202e-05
2.85080e-01 4.89153e+00 2.42099e-05
2.85080e-01 4.93216e+00 1.56143e-05
2.85080e-01 4.96339e+00 1.10571e-05
2.85080e-01 4.98508e+00 8.66333e-06
2.85080e-01 4.99717e+00 7.55098e-06
3.61426e-01 2.83399e-03 -1.21306e+00
